emp_no,first_name,last_name,birth_date,from_date,to_date,title
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Senior Engineer
15413,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
16528,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01,Engineer
18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Senior Engineer
22185,Huai,Birch,1965-01-29,2002-06-12,9999-01-01,Engineer
26671,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Senior Engineer
27767,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01,Senior Staff
31514,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01,Senior Engineer
34505,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01,Senior Staff
35087,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01,Senior Staff
35642,Ashish,Talmon,1965-01-30,1995-06-13,1999-02-28,Senior Engineer
39000,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01,Senior Staff
40269,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Senior Staff
43154,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01,Senior Staff
44900,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01,Senior Staff
46000,Zhaofang,Penn,1965-01-26,1997-07-24,9999-01-01,Senior Staff
48882,Leen,Lamparter,1965-01-28,1993-06-07,9999-01-01,Senior Engineer
52283,Trygve,Krupka,1965-01-20,1994-03-11,9999-01-01,Senior Staff
52590,Jouni,Munoz,1965-01-21,1995-11-26,1996-10-07,Senior Staff
53499,Zdislav,Mandelberg,1965-01-20,1994-09-11,9999-01-01,Senior Engineer
58384,Mariusz,Vural,1965-01-22,1993-11-14,9999-01-01,Senior Engineer
60000,Heekeun,Emmart,1965-01-16,1995-09-23,9999-01-01,Engineer
61253,Cheong,Uhrik,1965-01-09,1996-06-04,2002-05-09,Senior Engineer
61873,Woody,Rusmann,1965-01-19,1993-02-26,9999-01-01,Engineer
62046,Karlis,Nanard,1965-01-31,1992-09-19,9999-01-01,Senior Engineer
63294,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01,Senior Engineer
66702,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01,Senior Engineer
71066,Domenick,Basart,1965-01-27,1996-01-05,9999-01-01,Senior Staff
71745,Adil,Laventhal,1965-01-02,1992-05-13,9999-01-01,Engineer
75703,Kyoichi,Erman,1965-01-08,1996-07-25,9999-01-01,Senior Engineer
77303,Xinglin,Birge,1965-01-18,1992-03-05,9999-01-01,Senior Staff
77815,Ronghao,Picaronny,1965-01-21,1993-06-09,9999-01-01,Engineer
80850,Koldo,Luit,1965-02-01,1995-04-16,9999-01-01,Senior Engineer
82069,Yechezkel,Perfilyeva,1965-01-20,1994-11-03,9999-01-01,Senior Engineer
83544,Leaf,Baak,1965-01-18,1994-09-05,9999-01-01,Senior Staff
83941,Zsolt,Hagimont,1965-01-11,1996-10-08,9999-01-01,Senior Staff
85288,Younwoo,Luders,1965-01-06,1995-03-31,1998-12-08,Senior Engineer
88958,Vojin,Coombs,1965-01-22,1995-07-23,9999-01-01,Senior Staff
89590,Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01,Senior Staff
89806,Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01,Senior Engineer
93278,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01,Senior Engineer
95920,Nobuyoshi,Hegner,1965-01-19,1994-09-07,9999-01-01,Senior Staff
97661,Avishai,Hegner,1965-01-31,1993-05-08,9999-01-01,Senior Staff
100916,Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01,Senior Engineer
103310,Visit,Swen,1965-01-07,1995-10-02,9999-01-01,Senior Staff
103756,Heping,Halloran,1965-01-31,1992-04-08,9999-01-01,Engineer
105432,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01,Senior Engineer
107792,Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01,Senior Staff
109211,Gor,Delgrande,1965-01-11,2002-06-18,9999-01-01,Senior Engineer
109552,Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01,Engineer
200267,Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01,Senior Staff
200735,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01,Senior Staff
201708,Anneli,Perl,1965-01-15,1992-09-08,9999-01-01,Senior Staff
204470,Hein,Lichtner,1965-01-22,1998-05-02,9999-01-01,Senior Staff
